Name,Size,Thread,Exec Time,Speed Up
blackscholes,simlarge,1,2.2367999999999997,1.0
blackscholes,simlarge,2,1.2723,1.7580759254892713
blackscholes,simlarge,3,1.0413000000000001,2.259267507357742
blackscholes,simlarge,4,0.8103,2.760459089226212
blackscholes,simlarge,5,0.7518750000000001,3.040167417856183
blackscholes,simlarge,6,0.6934500000000001,3.3198757464861544
blackscholes,simlarge,7,0.6350250000000002,3.599584075116126
blackscholes,simlarge,8,0.5766000000000001,3.8792924037460965
blackscholes,simlarge,9,0.5563250000000001,4.038026315927635
blackscholes,simlarge,10,0.53605,4.196760228109174
blackscholes,simlarge,11,0.515775,4.355494140290712
blackscholes,simlarge,12,0.4955,4.51422805247225
blackscholes,simlarge,13,0.49277499999999996,4.539612434319107
blackscholes,simlarge,14,0.49005,4.564996816165964
blackscholes,simlarge,15,0.48732500000000006,4.590381198012821
blackscholes,simlarge,16,0.48460000000000003,4.615765579859677
blackscholes,simlarge,17,0.4774750000000001,4.687871104429948
blackscholes,simlarge,18,0.47035000000000005,4.759976629000217
blackscholes,simlarge,19,0.463225,4.832082153570487
blackscholes,simlarge,20,0.45610000000000006,4.904187678140757
blackscholes,simlarge,21,0.452325,4.946167969489921
blackscholes,simlarge,22,0.44855,4.988148260839086
blackscholes,simlarge,23,0.44477500000000003,5.030128552188251
blackscholes,simlarge,24,0.44099999999999995,5.072108843537415
blackscholes,simlarge,25,0.44075,5.074990723562152
blackscholes,simlarge,26,0.44049999999999995,5.07787260358689
blackscholes,simlarge,27,0.4402499999999999,5.080754483611627
blackscholes,simlarge,28,0.43999999999999995,5.083636363636364
blackscholes,simlarge,29,0.43732499999999996,5.11531287719967
blackscholes,simlarge,30,0.43465,5.146989390762975
blackscholes,simlarge,31,0.431975,5.178665904326281
blackscholes,simlarge,32,0.4293,5.210342417889587
blackscholes,simmedium,1,0.5683999999999999,1.0
blackscholes,simmedium,2,0.32910000000000006,1.7271346095411724
blackscholes,simmedium,3,0.27145,2.1928470054254037
blackscholes,simmedium,4,0.2138,2.6585594013096348
blackscholes,simmedium,5,0.19947499999999999,2.9019067714295104
blackscholes,simmedium,6,0.18514999999999998,3.145254141549386
blackscholes,simmedium,7,0.170825,3.388601511669261
blackscholes,simmedium,8,0.1565,3.6319488817891368
blackscholes,simmedium,9,0.152125,3.7462638196152334
blackscholes,simmedium,10,0.14775,3.8605787574413304
blackscholes,simmedium,11,0.143375,3.974893695267428
blackscholes,simmedium,12,0.139,4.0892086330935244
blackscholes,simmedium,13,0.13692500000000002,4.154129122104
blackscholes,simmedium,14,0.13485,4.219049611114475
blackscholes,simmedium,15,0.13277499999999998,4.283970100124949
blackscholes,simmedium,16,0.13069999999999998,4.348890589135425
blackscholes,simmedium,17,0.13042499999999999,4.358118559135519
blackscholes,simmedium,18,0.13015,4.367346529135613
blackscholes,simmedium,19,0.129875,4.376574499135708
blackscholes,simmedium,20,0.1296,4.385802469135802
blackscholes,simmedium,21,0.12745,4.4637320171411075
blackscholes,simmedium,22,0.1253,4.541661565146413
blackscholes,simmedium,23,0.12315,4.619591113151719
blackscholes,simmedium,24,0.121,4.697520661157024
blackscholes,simmedium,25,0.11964999999999999,4.7523792501930275
blackscholes,simmedium,26,0.11829999999999999,4.807237839229031
blackscholes,simmedium,27,0.11695,4.862096428265034
blackscholes,simmedium,28,0.1156,4.916955017301038
