Name,Threads,Size,branch-instructions,branch-misses in %,L3-cache-misses,L3-cache-miss-rate in %,L3-cache-references,cpu-cycles,total-instructions,IPC,cpu-clock,page-faults,L1-data-cache-loads,L1-instruction-cache-load-misses,LLC-load-misses,Exe-time,Speedup
bodytrack,8,simlarge,387606291,4.4,9787038,10.382,94271774,4262949801,1764169257,0.41,1857.6,136175,927241150,49343893,9068829,0.074,3.351351351
canneal,1,simsmall,388336014,4.34,8370594,9.383,89209703,4157607798,1760565178,0.42,1812.44,130043,917831692,45034185,7947338,0.132,1
canneal,2,simsmall,373629323,4.36,9038680,10.369,87171815,4050347340,1818820072,0.45,1763.32,130148,932448595,44638080,9081838,0.059,2.237288136
canneal,4,simsmall,367194581,4.36,8676986,10.093,85972743,4103379527,1760660318,0.43,1796.07,130048,907669582,42751488,7626803,0.078,1.692307692
canneal,8,simsmall,368614288,4.75,9349694,10.067,92875955,4314865451,1796410346,0.42,1883.58,130032,914962967,48908379,9382792,0.096,1.375
canneal,1,simmedium,420404172,3.88,8141020,9.214,88352887,4370116686,1888466624,0.43,1905.09,130219,983503986,43689818,7823041,0.101,1
canneal,2,simmedium,382653380,4.23,9301307,10.734,86651117,4226340697,1745485735,0.41,1827.92,130093,889973928,44147360,8980013,0.088,1.147727273
canneal,4,simmedium,378368529,4.43,8297084,9.49,87429748,4287537515,1820846110,0.42,1879.02,130086,936437044,45873060,8003307,0.044,2.295454545
canneal,8,simmedium,380996657,4.39,9108224,10.412,87476371,4195472961,1758303256,0.42,1823.95,130122,914923204,43344320,8843933,0.126,0.801587302
canneal,1,simlarge,379655626,4.32,7677395,8.882,86437677,4088416034,1795996345,0.44,1774.12,130028,921469435,41942935,7391131,0.104,1
canneal,2,simlarge,373586349,4.25,6970198,8.194,85061356,4000408160,1771871730,0.44,1730.61,130393,911201466,42267260,6943218,0.055,1.890909091
canneal,4,simlarge,377689559,4.54,9139333,10.195,89645185,4659484878,1789345085,0.38,2018.15,130077,932262125,47288361,8953229,0.088,1.181818182
canneal,8,simlarge,375272050,4.23,7575626,8.936,84771736,4072865288,1735370145,0.43,1771.92,130279,896820831,40297067,7480045,0.093,1.11827957
facesim,1,simsmall,367626796,4.63,9659926,10.539,91657319,4082199757,1796981035,0.44,1779.01,130647,926699614,46668955,8916987,0.039,1
