,Name,Size,branch-instructions,branch-misses in %,L3-cache-misses,L3-cache-miss-rate in %,L3-cache-references,cpu-cycles,total-instructions,IPC,cpu-clock,page-faults,L1-data-cache-loads,L1-instruction-cache-load-misses,LLC-load-misses
31,blackscholes,simmedium,531287355.0,3.01,16194902.0,19.508,83015236.0,5903816019.0,2988834322.0,0.51,2524.6,137460.0,1370858751.0,34867315.0,15317562.0
32,blackscholes,simlarge,968356106.0,2.15,16640330.0,15.363,108312032.0,9958341641.0,6482173680.0,0.65,4269.96,138770.0,2620929263.0,39104950.0,16586547.0
33,blackscholes,simsmall,440117135.0,3.6,15977411.0,20.999,76085507.0,5105486392.0,2159792374.0,0.42,2205.38,136925.0,1083119440.0,35974240.0,15460528.0
34,blackscholes,simmedium,532297801.0,3.1,16290275.0,19.921,81773124.0,6048656548.0,2996196228.0,0.5,2595.26,137729.0,1370505380.0,36481809.0,15705266.0
35,blackscholes,simlarge,976250765.0,2.13,17552918.0,16.116,108917420.0,10075812829.0,6490978971.0,0.64,4303.26,138496.0,2636914355.0,36906459.0,17388162.0
36,blackscholes,simsmall,415463691.0,3.81,16078747.0,20.475,78528938.0,5124292802.0,2127767527.0,0.42,2198.84,137104.0,1052571565.0,36204297.0,15887765.0
37,blackscholes,simmedium,524059779.0,3.21,16609629.0,20.15,82428514.0,5990979807.0,3011403933.0,0.5,2573.32,137638.0,1374918961.0,36621395.0,16181084.0
38,blackscholes,simlarge,960154663.0,2.16,16705730.0,15.502,107762423.0,9821573828.0,6319615612.0,0.64,4186.2,138865.0,2582477084.0,37843863.0,16181569.0
39,blackscholes,simsmall,423503099.0,3.59,16130593.0,20.495,78706749.0,4918348139.0,2197698939.0,0.45,2108.32,137388.0,1097204278.0,34872073.0,15190860.0
40,blackscholes,simmedium,520605720.0,3.07,15938303.0,19.44,81986336.0,5689432803.0,2981058248.0,0.52,2454.08,137759.0,1357389942.0,35242101.0,15167296.0
41,blackscholes,simlarge,960476045.0,2.14,18011376.0,16.804,107186578.0,9558670136.0,6459773785.0,0.68,4085.56,138787.0,2626654939.0,38011004.0,16467081.0
42,blackscholes,simsmall,414380810.0,3.7,16597398.0,21.432,77441774.0,4970688710.0,2050787676.0,0.41,2139.45,137598.0,1034494916.0,35593501.0,16004023.0
43,blackscholes,simmedium,531696492.0,3.11,16408182.0,20.277,80919034.0,5761792086.0,2943682250.0,0.51,2470.56,137749.0,1349908970.0,35432657.0,15416819.0
44,blackscholes,simlarge,969607797.0,2.14,17029154.0,15.576,109331607.0,9703893874.0,6483551469.0,0.67,4153.28,138919.0,2634592452.0,37124660.0,15590709.0
45,bodytrack,simsmall,523499521.0,3.07,17429686.0,18.854,92444158.0,5755269160.0,2996046785.0,0.52,2468.34,140141.0,1317239556.0,36516047.0,16925702.0
46,bodytrack,simmedium,740036580.0,2.61,18742177.0,15.43,121464943.0,8187784362.0,5718725928.0,0.7,3505.72,141675.0,2092506821.0,39043195.0,17948290.0
47,bodytrack,simlarge,1663536268.0,1.81,21418555.0,9.27,231062676.0,16542120011.0,14814905164.0,0.9,7087.54,146457.0,4598950018.0,48154261.0,20866352.0
48,bodytrack,simsmall,499554640.0,3.24,17322674.0,19.367,89445641.0,5884163609.0,3008454100.0,0.51,2528.68,139753.0,1329285365.0,37425318.0,17116477.0
49,bodytrack,simmedium,750838278.0,2.59,19115976.0,15.494,123374005.0,8348806212.0,5503279068.0,0.66,3577.13,141954.0,2041606019.0,39712313.0,18270840.0
50,bodytrack,simlarge,1672408675.0,1.84,20810841.0,9.006,231089366.0,16753512936.0,14745285158.0,0.88,7149.26,146676.0,4583384712.0,48217944.0,20723408.0
51,bodytrack,simsmall,501724871.0,3.24,17280806.0,18.718,92320933.0,5682769610.0,3036954419.0,0.53,2441.91,139687.0,1327088086.0,37677944.0,17033263.0
52,bodytrack,simmedium,735202290.0,2.61,17879616.0,14.75,121216189.0,8203373960.0,5493495380.0,0.67,3514.11,141948.0,2041276870.0,40553835.0,17970449.0
53,bodytrack,simlarge,1663867425.0,1.84,21757528.0,9.373,232125464.0,16928510448.0,14976484641.0,0.88,7233.9,146112.0,4653338276.0,47380481.0,20961788.0
54,bodytrack,simsmall,512300553.0,3.12,17260627.0,19.346,89218710.0,5864300966.0,3002548563.0,0.51,2528.23,139931.0,1325498146.0,37310365.0,17188686.0
55,bodytrack,simmedium,752492884.0,2.59,19297583.0,15.813,122035406.0,8307026008.0,5545049803.0,0.67,3563.25,141953.0,2060722530.0,39810286.0,18712420.0
56,bodytrack,simlarge,1637176892.0,1.83,21467326.0,9.207,233158432.0,16938051201.0,14761155834.0,0.87,7218.69,146491.0,4580446876.0,47764483.0,20889479.0
57,bodytrack,simsmall,510547296.0,3.14,16810557.0,18.35,91612227.0,5741293994.0,2968802641.0,0.52,2462.64,139985.0,1314056368.0,36007659.0,15792520.0
58,bodytrack,simmedium,762333835.0,2.53,17872680.0,14.974,119361214.0,8074155823.0,5604715298.0,0.69,3459.98,141690.0,2078917216.0,38887187.0,17941245.0
59,bodytrack,simlarge,1657419328.0,1.82,21501023.0,9.284,231589982.0,16943821296.0,14788741917.0,0.87,7243.6,146452.0,4588999220.0,46956137.0,20516471.0
60,bodytrack,simsmall,501309036.0,3.19,16228299.0,18.229,89024377.0,5459335963.0,3038391105.0,0.56,2341.07,139949.0,1332314668.0,36525284.0,16008972.0
61,bodytrack,simmedium,742654176.0,2.6,17462551.0,14.605,119564923.0,8161465540.0,5595003146.0,0.69,3497.47,141564.0,2044913163.0,37655254.0,16938564.0
62,bodytrack,simlarge,1675878861.0,1.81,21632624.0,9.331,231828404.0,17206933358.0,14873944374.0,0.86,7338.29,146435.0,4602059599.0,48964375.0,21185448.0
63,bodytrack,simsmall,518516182.0,3.14,17604552.0,19.279,91313111.0,5808871728.0,2918545449.0,0.5,2501.2,140003.0,1308473305.0,37362401.0,16685453.0
64,bodytrack,simmedium,775144743.0,2.44,17833208.0,14.928,119461074.0,7832435769.0,5528627529.0,0.71,3348.11,142024.0,2031053652.0,37830932.0,16743785.0
65,bodytrack,simlarge,1637569590.0,1.83,21585821.0,9.308,231900049.0,16774747571.0,14820540876.0,0.88,7144.29,146401.0,4583965923.0,45693035.0,20593164.0
66,bodytrack,simsmall,592327913.0,2.77,15952340.0,17.886,89190445.0,5987372286.0,3205969387.0,0.54,2576.28,140040.0,1441282295.0,37454910.0,16179488.0
67,bodytrack,simmedium,743136594.0,2.58,18370819.0,15.216,120734833.0,8316851285.0,5533630607.0,0.67,3560.75,142229.0,2040285887.0,40346557.0,18091932.0
68,bodytrack,simlarge,1666245404.0,1.8,21325605.0,9.27,230055726.0,16961263479.0,14654967975.0,0.86,7241.19,144902.0,4576669418.0,47806560.0,21034450.0
69,bodytrack,simsmall,526250992.0,3.12,16790129.0,18.446,91024074.0,5920813108.0,2997053827.0,0.51,2546.4,140060.0,1330462365.0,37689995.0,15619062.0
70,bodytrack,simmedium,794511159.0,2.43,18268591.0,14.94,122276746.0,8414264512.0,5503563539.0,0.65,3608.78,141668.0,2036036362.0,39823479.0,17569065.0
71,bodytrack,simlarge,1649835885.0,1.82,21581858.0,9.408,229391863.0,17039894686.0,14789811809.0,0.87,7289.76,145289.0,4589446836.0,47933237.0,21284205.0
72,bodytrack,simsmall,507890585.0,3.2,17695454.0,19.428,91084230.0,5819941613.0,2994943519.0,0.51,2499.08,140002.0,1329018809.0,36934337.0,17069344.0
73,bodytrack,simmedium,745424597.0,2.58,16228717.0,13.659,118814702.0,7880157368.0,5667149871.0,0.72,3378.11,141959.0,2074003852.0,38222057.0,16333877.0
74,bodytrack,simlarge,1638659036.0,1.84,22219445.0,9.631,230701629.0,17090888465.0,14813858377.0,0.87,7291.12,146597.0,4595402047.0,47872298.0,21572201.0
75,bodytrack,simsmall,519955267.0,3.13,16999073.0,18.621,91290846.0,5875239825.0,3089410642.0,0.53,2525.82,140031.0,1348323492.0,37506746.0,16847630.0
76,bodytrack,simmedium,762131409.0,2.54,18131061.0,15.153,119655904.0,8194595944.0,5524250073.0,0.67,3522.22,141866.0,2043933309.0,39991722.0,17584828.0
77,bodytrack,simlarge,1647072493.0,1.86,21877687.0,9.43,232002102.0,17023341907.0,14842953996.0,0.87,7265.84,146415.0,4566581791.0,48051799.0,22471653.0
78,bodytrack,simsmall,505338673.0,3.27,17274133.0,19.386,89106373.0,5829150413.0,3015585921.0,0.52,2502.19,139980.0,1321096968.0,37049077.0,16773396.0
79,bodytrack,simmedium,751157328.0,2.51,17481681.0,14.775,118316148.0,7989015963.0,5494467173.0,0.69,3419.94,141922.0,2056714632.0,39647820.0,17166654.0
80,bodytrack,simlarge,1668619934.0,1.8,20609687.0,8.944,230439281.0,16394076923.0,14710163149.0,0.9,6993.7,146115.0,4586632491.0,47049595.0,20155333.0
81,bodytrack,simsmall,499304330.0,3.28,17599563.0,19.304,91171934.0,5681349408.0,3037833687.0,0.53,2452.15,139889.0,1320803163.0,36784798.0,17054482.0
82,bodytrack,simmedium,760326532.0,2.52,18284831.0,14.977,122083126.0,8163637985.0,5596445860.0,0.69,3504.49,141871.0,2105037113.0,39355687.0,16971582.0
83,bodytrack,simlarge,1660739325.0,1.81,21019460.0,9.049,232289882.0,16884553159.0,14627480890.0,0.87,7209.45,146474.0,4561231513.0,46355713.0,19856690.0
84,bodytrack,simsmall,511583693.0,3.2,16369858.0,18.133,90276141.0,5765707822.0,3014578528.0,0.52,2486.93,140021.0,1329801192.0,36445042.0,15392638.0
85,bodytrack,simmedium,765651235.0,2.49,18228573.0,15.238,119629202.0,8225832402.0,5652066822.0,0.69,3538.93,141593.0,2084040040.0,38681201.0,17235510.0
86,bodytrack,simlarge,1661818290.0,1.84,22303452.0,9.514,234428501.0,17280323933.0,14818705310.0,0.86,7377.36,146674.0,4614196870.0,49279088.0,22601274.0
87,bodytrack,simsmall,500914559.0,3.19,16746039.0,18.293,91545058.0,5975676072.0,2959903194.0,0.5,2562.77,140008.0,1296901298.0,36957730.0,16423567.0
88,bodytrack,simmedium,739601056.0,2.58,17556481.0,14.63,120000187.0,8121601009.0,5440206629.0,0.67,3519.02,141774.0,2022286107.0,40280175.0,17388000.0
89,bodytrack,simlarge,1646445996.0,1.84,20957377.0,9.1,230308796.0,16833041696.0,14718627108.0,0.87,7215.34,146279.0,4553705503.0,47127344.0,20406671.0
90,canneal,simsmall,794242996.0,4.56,35120821.0,22.201,158196045.0,12453181375.0,3603883261.0,0.29,5313.29,154446.0,1862693672.0,50941741.0,34370232.0
91,canneal,simmedium,1314435986.0,4.68,67533584.0,24.845,271814861.0,24657793420.0,6145188814.0,0.25,10501.5,230146.0,3192410474.0,70867159.0,64021561.0
92,canneal,simlarge,2282972768.0,4.6,134033106.0,27.091,494758198.0,48411906549.0,10647338706.0,0.22,20586.28,386072.0,5503436861.0,104417284.0,124131405.0
93,canneal,simsmall,782099001.0,4.37,35855233.0,22.832,157042359.0,12986581333.0,3643312249.0,0.28,5534.04,155162.0,1863146472.0,49858700.0,34498442.0
94,canneal,simmedium,1285435739.0,4.73,65789076.0,25.064,262487828.0,25051978015.0,5863460306.0,0.23,10662.57,213754.0,3048956428.0,81453024.0,62201924.0
95,canneal,simlarge,2237831820.0,4.91,128523378.0,26.973,476495212.0,46944786142.0,10299755268.0,0.22,19963.02,350018.0,5327891498.0,100924690.0,117556236.0
96,canneal,simsmall,772799913.0,4.66,34259615.0,22.427,152761646.0,10908576527.0,3605742009.0,0.33,4653.74,145592.0,1845933659.0,49958224.0,33887654.0
97,canneal,simmedium,1286109098.0,4.62,63614886.0,25.163,252812894.0,21730726030.0,5859247440.0,0.27,9248.63,195759.0,3052457784.0,63172191.0,59609394.0
98,canneal,simlarge,2282621906.0,4.88,133039718.0,26.849,495502248.0,49740811624.0,10530342516.0,0.21,21180.09,474639.0,5464255255.0,105511224.0,122142416.0
99,canneal,simsmall,787839321.0,4.42,35752439.0,22.51,158827491.0,12467170437.0,3655841957.0,0.29,5323.5,154162.0,1864089678.0,49549127.0,34737281.0
100,canneal,simmedium,1262580044.0,4.64,65223719.0,25.506,255720491.0,23302286294.0,5830149440.0,0.25,9915.32,198754.0,3017176066.0,64120518.0,61352097.0
101,canneal,simlarge,2230566726.0,4.9,129901771.0,27.224,477154228.0,46103821350.0,10282183324.0,0.22,19625.53,357470.0,5306968804.0,97466758.0,119945042.0
102,canneal,simsmall,795436974.0,4.38,35827277.0,22.694,157870926.0,12342788232.0,3688848196.0,0.3,5268.12,153947.0,1892717105.0,50843192.0,34630491.0
103,canneal,simmedium,1245191834.0,4.88,61760108.0,24.603,251028809.0,22263909323.0,5821249551.0,0.26,9488.39,196534.0,3022163792.0,64662319.0,59750955.0
104,canneal,simlarge,2224843429.0,4.73,128074173.0,26.877,476511786.0,47118980963.0,10361462622.0,0.22,20056.38,361274.0,5336490510.0,104599755.0,118763659.0
105,canneal,simsmall,813088844.0,4.49,36993250.0,23.6,156753500.0,13338082556.0,3737632941.0,0.28,5692.01,153962.0,1910018610.0,50332256.0,34970248.0
106,canneal,simmedium,1270876830.0,4.7,65728996.0,25.661,256147577.0,23074718435.0,5906647633.0,0.26,9838.33,196943.0,3052592210.0,66735089.0,62138635.0
107,canneal,simlarge,2236668942.0,4.93,129571042.0,26.8,483476583.0,49673361791.0,10251905079.0,0.21,21176.8,356879.0,5311961825.0,101262655.0,119970256.0
108,canneal,simsmall,798186892.0,4.36,32803335.0,21.176,154909332.0,11396982876.0,3620662787.0,0.32,4885.69,146495.0,1840364440.0,49009249.0,31749360.0
109,canneal,simmedium,1255994883.0,4.8,66041013.0,25.438,259615314.0,24336252904.0,5927516336.0,0.24,10369.9,181440.0,3066108028.0,65211234.0,62124314.0
110,canneal,simlarge,2221098457.0,5.0,126954411.0,26.639,476566901.0,46511862374.0,10308100334.0,0.22,19852.11,392661.0,5301538769.0,121829552.0,116491900.0
111,canneal,simsmall,798859837.0,4.47,34754175.0,22.767,152652759.0,12118945522.0,3663939977.0,0.3,5171.29,145752.0,1881208194.0,48390635.0,33694752.0
112,canneal,simmedium,1283936030.0,4.65,64853284.0,25.354,255795053.0,23968710227.0,5775646041.0,0.24,10194.31,195916.0,3002483633.0,66040033.0,61737085.0
113,canneal,simlarge,2190084991.0,4.83,124781270.0,26.616,468819911.0,46227912394.0,10153032143.0,0.22,19653.77,324434.0,5227209473.0,95980234.0,115709154.0
114,canneal,simsmall,807526748.0,4.3,35367726.0,22.726,155626826.0,11927696798.0,3582080534.0,0.3,5095.74,153723.0,1844653467.0,49107732.0,34072233.0
115,canneal,simmedium,1288409631.0,4.69,66751391.0,25.219,264689822.0,24996166664.0,5875082674.0,0.24,10645.56,229487.0,3057735364.0,70134875.0,63342940.0
116,canneal,simlarge,2263803110.0,4.86,126399736.0,26.753,472476849.0,47789489384.0,10432397563.0,0.22,20313.27,385144.0,5391855024.0,101141023.0,116855399.0
117,canneal,simsmall,785156913.0,4.56,34601462.0,22.886,151187556.0,11890740712.0,3626812150.0,0.31,5073.26,153750.0,1868835110.0,48361799.0,34175202.0
118,canneal,simmedium,1287272074.0,4.72,67460409.0,25.524,264297732.0,22613372968.0,5937330195.0,0.26,9686.76,198355.0,3079424554.0,67326771.0,63981382.0
119,canneal,simlarge,2322744844.0,4.83,137063670.0,26.036,526446034.0,52912509911.0,10854984311.0,0.21,22488.26,531274.0,5646320905.0,113976928.0,126247231.0
